Question,Answer
موسیقی متن فیلم کرخه تا راین اثر کیست؟,مجید انتظامی
فیلم شهر موش ها در چه سالی ساخته شده است؟,۱۳۶۴ شمسی
اولین فیلم سینمایی که در ایران ساخته شد چه نام داشت؟,آبی و رابی
قدیمی‌ترین سینمای فعال در تهران کدام است؟,سینما فردوسی
اولین جشنواره فیلم فجر چه سالی برگزار شد؟,۱۳۶۱ شمسی
کدام کارگردان ایرانی بیشترین سیمرغ بلورین جشنواره فیلم فجر را دریافت کرده است؟,مجید مجیدی
اولین فیلم ایرانی که موفق به دریافت جایزه اسکار شد چه نام داشت؟,«جدایی نادر از سیمین» به کارگردانی اصغر فرهادی
مشهورترین جشنواره فیلم در جهان کدام است؟,جشنواره فیلم کن
کدام کشور بیشترین جوایز اسکار را در زمینه بهترین فیلم خارجی زبان دریافت کرده است؟,ایتالیا
کدام کارگردان ایرانی به «استاد سینمای ایران» معروف است؟,عباس کیارستمی
اولین سریال تلویزیونی که در ایران پخش شد چه نام داشت؟,سرنخ
اولین شبکه تلویزیونی ایران چه نام داشت؟,تلویزیون ایران
کدام سریال تلویزیونی ایرانی توانست رکورد بیشترین تعداد بیننده را در تاریخ صدا و سیما بشکند؟,پایتخت
اولین سریال انیمیشنی ایرانی چه نام داشت؟,سیا ساکتی
قدیمی‌ترین برنامه کودک تلویزیونی ایران چه نام داشت؟,کلاه قرمزی
اولین حضور بهرام افشاری در سریال پایتخت در چه فصلی بود؟,فصل ۲
کارگردان فیلم سینمایی رحمان ۱۴۰۰ کیست؟,منوچهر هادی
سریال پایتخت ۶ چند قسمت دارد؟,۱۵ قسمت
کارگردان سریال شب های ببره کیست؟,مهران مدیری
سریال هفت سنگ در چه سالی ساخته شد؟,۱۳۹۳ شمسی
فیلم سینمایی آینه بغل در چه سالی ساخته شده است؟,۱۳۹۶ شمسی
کدام بازیگر هالیوودی در نقش “حمزه” عموی پیامبر ظاهر شد؟,آنتونی کوین
“چارلی چاپلین” بازیگر مشهور سینما متولد کجاست؟,انگلستان
مارلون براندو در چه سالی اسکار خود را قبول نکرد؟,۱۹۷۳ میلادی
فیلم سینمایی قرمز اثر کیست؟,فریدون جیرانی
کارگردان فیلم «خشت و آینه» کیست؟,ابراهیم گلستان
مهمترین جشنواره سینمایی ایران کدام گزینه است؟,جشنواره فیلم فجر
فیلم ناخدا خورشید اثر تقوایی، اقتباسی آزاد از کدام داستان ارنست همینگوی است؟,رمان داشتن و نداشتن از ارنست همینگوی
فیلمی از «داریوش مهرجویی» با موضوع دردسر های یک شهرستانی ساده در دل پایتخت چیست؟,آقای هالو
اسم شخصیت حامد بهداد در فیلم پیر پسر چیست؟,علی
جدید ترین فیلم حامد بهداد چیست؟,مفت بر
لیلا حاتمی در چه سالی به عنوان داور در جشنوار کن حضور داشته است؟,۲۰۱۴ میلادی
موضوع فیلم پیر پسر چیست؟,مردی که قانون نداشته باشه همیشه پسره ، پیرم که بشه پیرپسره
آخرین فیلم سها نیاستی چیست؟,زن و بچه
شخصیت اصلی فیلم مردی عینکی چه نام دارد؟,بهرام افشاری
فیلم دایناسور به کارگردانی مسعود اطیابی در چه ژانری ساخته شده است؟,کمدی
اسم رضا عطاران در فیلم صددام چیست؟,صلاح شریف
نام پژمان جمشیدی در فیلم صبحانه با زرافه ها چیست؟,رضا
فیلم دایناسور چند دقیقه است؟,حدود ۱۰۳ الی ۱۰۴ دقیقه
چه بازیگری نقش مادر موسی در فیلم موسی کلیم الله را بازی کرده است؟,مریلا زارعی